type,year,make,model,rating,isAllStarHost,avgDailyPrice.amount,avgDailyPrice.currency,completedTrips,location.locationSlugs.en_CA,location.isDelivery,location.city,isNewListing,tags[0].label,tags[0].type,tags[1].label,tags[1].type,tags[2].label,tags[2].type
CAR,2022,BMW,4 Series Gran Coupe,5.0,True,58.2,USD,18,irvine-ca,False,Irvine,False,,,,,,
CAR,2020,BMW,3 Series,5.0,False,52.57,USD,6,tustin-ca,False,Tustin,False,,,,,,
CAR,2018,BMW,M4,5.0,True,84.39,USD,39,irvine-ca,False,Irvine,False,,,,,,
CAR,2018,BMW,4 Series Gran Coupe,5.0,True,55.77,USD,117,rancho-santa-margarita-ca,False,Rancho Santa Margarita,False,,,,,,
SUV,2025,BMW,iX,5.0,True,93.1,USD,1,lake-forest-ca,False,Lake Forest,False,App unlock,TURO_GO,,,,
CAR,2018,BMW,5 Series,5.0,True,57.95,USD,25,rancho-santa-margarita-ca,False,Rancho Santa Margarita,False,,,,,,
CAR,2019,BMW,3 Series,,True,47.59,USD,0,irvine-ca,False,Irvine,True,,,,,,
SUV,2022,BMW,X2,4.9825,True,53.1,USD,60,anaheim-ca,False,Anaheim,False,,,,,,
CAR,2025,BMW,i4,,True,63.02,USD,0,irvine-ca,False,Irvine,True,,,,,,
CAR,2024,BMW,i4,5.0,False,58.33,USD,15,ontario-ca,False,Ontario,False,Unlimited miles,UNLIMITED_MILEAGE,,,,
SUV,2016,BMW,X1,5.0,True,43.07,USD,9,orange-ca,False,Orange,False,,,,,,
SUV,2023,BMW,X6,5.0,True,122.55,USD,73,irvine-ca,False,Irvine,False,,,,,,
CAR,2020,BMW,7 Series,,False,61.75,USD,0,corona-ca,False,Corona,False,,,,,,
SUV,2021,BMW,X3,5.0,True,60.48,USD,68,irvine-ca,False,Irvine,False,,,,,,
CAR,2023,BMW,8 Series,5.0,False,116.4,USD,19,corona-ca,False,Corona,False,,,,,,
CAR,2022,BMW,5 Series,5.0,False,61.43,USD,2,ontario-ca,False,Ontario,False,,,,,,
CAR,2023,BMW,Z4,4.9677,True,74.04,USD,34,irvine-ca,False,Irvine,False,,,,,,
CAR,2022,BMW,Z4,4.9605,True,85.5,USD,91,irvine-ca,False,Irvine,False,,,,,,
CAR,2022,BMW,M3,5.0,True,149.0,USD,2,irvine-ca,False,Irvine,True,,,,,,
SUV,2019,BMW,X3,4.939,True,46.93,USD,120,anaheim-ca,False,Anaheim,False,,,,,,
CAR,2021,BMW,3 Series,5.0,True,84.23,USD,22,ontario-ca,False,Ontario,False,App unlock,TURO_GO,,,,
SUV,2019,BMW,X2,5.0,True,48.84,USD,3,rancho-santa-margarita-ca,False,Rancho Santa Margarita,False,,,,,,
CAR,2023,BMW,5 Series,5.0,True,85.33,USD,9,walnut-ca,False,Walnut,False,,,,,,
SUV,2020,BMW,X2,5.0,True,60.14,USD,91,irvine-ca,False,Irvine,False,,,,,,
CAR,2017,BMW,2 Series,4.9773,True,53.61,USD,153,irvine-ca,False,Irvine,False,,,,,,
CAR,2021,BMW,5 Series,5.0,False,58.9,USD,8,irvine-ca,False,Irvine,False,,,,,,
CAR,2020,BMW,M2,4.9701,True,91.67,USD,82,ontario-ca,False,Ontario,False,,,,,,
CAR,2024,BMW,M2,5.0,True,95.55,USD,18,santa-ana-ca,False,Santa Ana,False,,,,,,
SUV,2015,BMW,X3,5.0,True,58.65,USD,36,yorba-linda-ca,False,Yorba Linda,False,,,,,,
SUV,2023,BMW,X3,4.9531,True,56.43,USD,73,irvine-ca,False,Irvine,False,,,,,,
SUV,2021,BMW,X1,4.9091,True,41.8,USD,26,westminster-ca,False,Westminster,False,,,,,,
CAR,2022,BMW,5 Series,5.0,True,95.0,USD,71,brea-ca,False,Brea,False,App unlock,TURO_GO,,,,
SUV,2024,BMW,X7,4.9818,True,111.33,USD,71,irvine-ca,False,Irvine,False,,,,,,
CAR,2019,BMW,3 Series,4.9359,True,46.67,USD,90,irvine-ca,False,Irvine,False,,,,,,
